Ticker,Price
OFOS,30.71
SGN,0.2617
CMAUF,0.09
WMMVY,35.88
VEON,26.865
GARP,51.8
IMSIF,7.82
KNIT,7.14
TGAFF,2.88
PNI,7.51
FLMMF,20.61
AASP,0.51
BCUS,29.6301
DRNK,0.0004
CIM,15.55
GLDI,152.52
SLLDY,8.8
PSHZF,54.774
ENLT,16.29
TFZI,1e-06
SLCJY,3.43
WVVIP,3.7966
PPBCF,7.89
OPTN,1.105
GTPS,42
LKSB,11
INSE,9.13
DMBS,48.8957
OTTR,93.41
GGRGF,21.1
ACR/PC,24.75
VACNY,51.73
DTSS,2.91
ARMP,3.15
ZPTA,0.5848
ONEV,124.225
EQR,70.86
RDOG,40.2701
HAPBF,0.105
ISSHF,184
CAOVY,8.69
SPUC,42.54
FPAFF,0.45
NMUCF,5.48
INAB,0.86
TBNRL,0.12
NEWT,15.15
UMAR,34.02
SMTOY,15.3405
WKCMF,110.75
ABCP,0.3238
BKRIY,11.17
XNOV,33.195
KNRLF,0.1691
GLGDF,1.11
HWH,0.97
XFIN,11.03
CHBH,45.75
OIS,4.5199
SER,10.55
LCCTF,4.2
UNIF,5.7
SNDZ,0.0001
GGRW,27.02
QGRO,85.85
DNFGY,15.25
IBMR,25.01
GSIW,7.001
USL,40.4701
RDRIF,0.3909
WCHNF,0.13
PFC,25.22
EQFN,12
NCLTF,109.406
DELCF,1e-06
FBIO,2.1
GFIOF,17.02
ISDB,24.98
PCG/PH,17.4
MIST,1.6
SHIP,9.21
BMVP,45.585
IMTV,1e-06
BTCS,1.62
CENBF,1e-06
NSI,27.33
CNNXF,1e-06
GRYCF,0.0258
IRM,98.885
LECO,210.18
PRIF/PI,22.77
GMPW,0.022
MCAG,10.8201
GDOT,9.97
THBRF,1.31
FANG,210.96
SQCF,10.05
DLTNF,0.00755
UTRK,0.0001
VFQY,139.877
OCFCP,24.9
CCTL,0.0001
INTR,6.6
TSRYF,8.05
SOHON,18.66
GDLG,0.35
RODM,28.6785
XDEC,36.18
CBDG,0.024
GDTRF,0.2311
STHZF,0.009
ROKT,47.39
IDR,11.1227
SKRE,17.73
FPRUF,50.25
NETL,25.9
PRTHU,4.6
FULO,0.395
NTTDF,14.1
EFT,13.5851
FNCL,62.04
MTYFF,36.36
IPKW,41.62
JELD,16.5368
HRYU,0.3026
FSP,1.7201
SD,13.78
CMRZF,0.0992
RYTM,50.62
MLM,564.1199
SECTF,39.3425
XDSQ,33.77
ARBK,1.48
VLVOF,3.32
IWF,362.95
SBXC.U,10.6
MTNOY,4.08
PBJ,45.8401
PLGDF,1.75
INIS,0.037
GAPR,35.925
XFABF,6.87
STXD,32.45
LRGE,69.9083
VNO/PN,15.51
CECO,28.975
RVER,25.8399
WOAM,1e-06
LRMR,9.76
VGUSF,71.77
SBIO,37.21
MCRXF,0.065
JINFF,6.8
CGUD,0.0012
CAPC,0.01255
ATCN,21
FOJCF,15
HIFS,219.31
WEL,11.6
BBHY,46.23
PMNXF,1.87
UCRD,21.215
KRYAY,87.37
RCKHF,0.19
ECPN,0.0001
CCNEP,22.42
OSPN,13.11
TOON,1.055
CNYA,25.83
FVCB,12.72
ARZGF,25.25
AVTR,21.18
SUTNY,4.92
MHSDF,2.62
STER,15.695
BFLBF,53.87
CROX,130.46
UP,3.8725
SCNLF,0.162
VCEL,51.47
LVTX,2.07
PURE,0.0744
VWE,0.1307
CACC,613.2
NAVI,15.78
FNGU,442.43
DIT,150.99
WT,10.81
ELAN,13.135
DUO,0.485
PSEC,5.605
ATLPF,18.17
INGN,9.45
OMRNF,33.74
RIG,5.587
BIXT,0.115
XTWY,42.11
KTGDF,0.075
BYM,11.4701
IYY,135.01
SUN,58.41
PFIS,49.735
CTUY,32.75
SCO,15.65
NORSF,0.2581
RSSY,20.88
PFS,18.115
IUGNF,0.0375
HEPA,1.0968
FFBW,12.98
XOMA,28.4
SCBFF,9.5
OFG,43.99
CKX,13.105
RBRK,34.68
PSCI,130.79
CWB,73.4795
NNOX,8.2001
BBH,177.78
CAAOF,1e-06
BCTF,9.9
SCZC,37.97
VODPF,0.9094
BLIAQ,0.01
SDCI,19.4
SGC,20.15
LIVE,19.8
ITRM,1.245
AVPT,10.49
PEGRY,17.18
DFEM,27.085
VAL,78.22
VTMXF,0.0043
ATGE,78.755
HCA,322.2
NVT,74.96
DLGCF,6.02
AVBH,19.42
CDNO,0.0008
REYGF,0.018
BSIG,25.05
DURA,32.99
CAAS,3.4802
ALEC,5.985
FTI,27.775
FLWPF,1e-06
DGP,59.98
FITSF,0.00345
ESGRO,25.15
ENGQF,15.6
FAUG,44.2956
BBRRF,0.01
HEHSF,5.4
SHCR,1.38
NEWH,0.0046
RCRUY,11.575
WISE,29.535
LPLA,225.035
VCTY,1e-06
SWISF,0.0273
ESBA,10.4
NEU,547.11
HPS,16.22
PBL,28.775
HVPQF,33.06
NEXI,2.21
CAL,34.38
SLXXF,0.02
FXBY,15.72
OPXS,8.275
AFSM,30.6513
INCO,71.815
SKUFF,19.525
BIOR,0.7285
HNDL,21.52
QGLHF,0.1111
BBCMF,0.0509
VPG,33.62
CGNT,7.6
UZD,22.96
GMER,0.0115
PYXS,3.285
BUENF,0.01
MSFO,20.89
AJINY,39.765
ODDAF,0.1705
SNOXF,0.44
YRD,4.9
ARP,28.2988
NVVE,0.6133
COF,151.62
SMAR,45.91
YALA,4.46
SGLY,4.84
BSJQ,23.305
ALAI,21.5601
PSO,13.16
ISRNF,13.273
STEW,15.43
ARKW,81.89
AIMBU,11.35
CHAT,36.165
BBSB,98.26
ESGL,1.25
DSTX,24.49
EGFEY,1.1
MNTR,0.04435
ROP,570.39
MTRJF,3.32
DMAR,36.42
FLXR,38.6695
AOMR,12.73
AHRO,0.0003
FCPB,9.55
TQQQ,72.58
CGKEY,12.17
ADX,22.05
SSVFF,0.1995
ADV,3.845
MRPT,0.1106
VLKAF,123.648
PAYS,5.12
HFRO/PA,18.42
CSHI,49.91
RKMSF,0.028
ULTY,12.71
LOGC,6.15
NLY,20.45
BAH,156.5
PTXKY,2.7
EVT,24.12
ENDI,8
WMK,72.32
BRFS,3.795
CID,32.95
COTY,10.115
RSLS,0.2211
GREK,42.07
EMTY,13.42
WBBAD,0.062
CBMJ,0.264
JTKWY,2.46
ANFGF,24.8
FSEA,9.25
TRPCF,47.45
OKLO,8.63
ETHD,45
BVNRY,9.07
GAB/PK,21.17
USML,37.4266
STLRF,0.938276
NPXYY,15.417
TMDIF,0.0361
OLN,50.17
BNKU,36.46
CXT,58.85
GOLF,69.07
AIABF,0.16
AILIM,76
BRK.B,447.77
QEBR,0.0001
OLPX,1.795
AFL,95.11
PMCOF,0.1198
JAVA,61.96
CPHI,0.2603
